M,N,K,g,gm,gn,act_reuse_groups,wgt_reuse_groups,mtile,ntile,ktile,k_iters,area_x_g,resident_blocks,phase_count,cycles_total,cycles_compute,cycles_memory,cycles_control,cycles_exposed_load,overlap_hidden_cycles,overlap_hidden_ratio,overlap_hidden_load_ratio,overlap_ratio,utilization
128,128,896,2,1,2,1,2,16,32,64,14,1024,3,1,37064.0,16128.0,45056.0,0.0,18888.0,24120.0,0.650766,0.560826,0.535334,1.0
128,256,640,2,1,2,1,2,16,32,64,10,1024,3,1,54088.0,23040.0,65536.0,0.0,26952.0,34488.0,0.637628,0.561328,0.526245,1.0
128,256,1536,2,1,2,1,2,16,32,64,24,1024,3,1,123976.0,55296.0,151552.0,0.0,64584.0,82872.0,0.668452,0.562012,0.546822,1.0
128,256,2048,2,1,2,1,2,16,32,64,32,1024,3,1,163912.0,73728.0,200704.0,0.0,86088.0,110520.0,0.674264,0.562134,0.550662,1.0
128,320,960,2,1,2,1,2,16,32,64,15,1024,3,1,98792.0,43200.0,120320.0,0.0,50472.0,64728.0,0.655195,0.561875,0.537965,1.0
128,640,1024,2,1,2,1,2,16,32,64,16,1024,3,1,209992.0,92160.0,256000.0,0.0,107592.0,138168.0,0.657968,0.562207,0.539719,1.0
128,640,2048,2,1,2,1,2,16,32,64,32,1024,3,1,409672.0,184320.0,501760.0,0.0,215112.0,276408.0,0.674706,0.562354,0.550877,1.0
128,896,896,2,1,2,1,2,16,32,64,14,1024,3,1,259016.0,112896.0,315392.0,0.0,131784.0,169272.0,0.653519,0.562261,0.536704,1.0
128,896,4864,2,1,2,1,2,16,32,64,76,1024,3,1,1342280.0,612864.0,1648640.0,0.0,715080.0,919224.0,0.684823,0.562456,0.557565,1.0
128,960,960,2,1,2,1,2,16,32,64,15,1024,3,1,296232.0,129600.0,360960.0,0.0,151272.0,194328.0,0.655999,0.562292,0.538364,1.0
128,960,2560,2,1,2,1,2,16,32,64,40,1024,3,1,764232.0,345600.0,936960.0,0.0,403272.0,518328.0,0.678234,0.562422,0.553202,1.0
128,1024,640,2,1,2,1,2,16,32,64,10,1024,3,1,216136.0,92160.0,262144.0,0.0,107592.0,138168.0,0.639264,0.562207,0.527069,1.0
128,1024,2304,2,1,2,1,2,16,32,64,36,1024,3,1,735304.0,331776.0,901120.0,0.0,387144.0,497592.0,0.676716,0.562419,0.552193,1.0
128,1536,1536,2,1,2,1,2,16,32,64,24,1024,3,1,743496.0,331776.0,909312.0,0.0,387144.0,497592.0,0.66926,0.562419,0.547218,1.0
128,1536,8960,2,1,2,1,2,16,32,64,140,1024,3,1,4217928.0,1935360.0,5185536.0,0.0,2257992.0,2902968.0,0.688245,0.562486,0.55982,1.0
128,2048,640,2,1,2,1,2,16,32,64,10,1024,3,1,432200.0,184320.0,524288.0,0.0,215112.0,276408.0,0.639537,0.562354,0.527206,1.0
128,2048,2048,2,1,2,1,2,16,32,64,32,1024,3,1,1310792.0,589824.0,1605632.0,0.0,688200.0,884664.0,0.674908,0.562454,0.550976,1.0
128,2048,2304,2,1,2,1,2,16,32,64,36,1024,3,1,1470536.0,663552.0,1802240.0,0.0,774216.0,995256.0,0.676798,0.562459,0.552233,1.0
128,2048,5632,2,1,2,1,2,16,32,64,88,1024,3,1,3547208.0,1622016.0,4358144.0,0.0,1892424.0,2432952.0,0.685878,0.562483,0.558254,1.0
128,2048,8192,2,1,2,1,2,16,32,64,128,1024,3,1,5144648.0,2359296.0,6324224.0,0.0,2752584.0,3538872.0,0.687874,0.562489,0.559574,1.0
128,2304,2048,2,1,2,1,2,16,32,64,32,1024,3,1,1474632.0,663552.0,1806336.0,0.0,774216.0,995256.0,0.674918,0.562459,0.550981,1.0
128,2304,9216,2,1,2,1,2,16,32,64,144,1024,3,1,6506568.0,2985984.0,7999488.0,0.0,3483720.0,4478904.0,0.688367,0.562491,0.559899,1.0
