model,layer,M,N,K
google/gemma-3-270m,model.layers.0.self_attn.q_proj,128,1024,640
google/gemma-3-270m,model.layers.0.self_attn.k_proj,128,256,640
google/gemma-3-270m,model.layers.0.self_attn.v_proj,128,256,640
google/gemma-3-270m,model.layers.0.self_attn.o_proj,128,640,1024
google/gemma-3-270m,model.layers.0.mlp.gate_proj,128,2048,640
google/gemma-3-270m,model.layers.0.mlp.up_proj,128,2048,640
google/gemma-3-270m,model.layers.0.mlp.down_proj,128,640,2048
google/gemma-3-270m,model.layers.1.self_attn.q_proj,128,1024,640
google/gemma-3-270m,model.layers.1.self_attn.k_proj,128,256,640
google/gemma-3-270m,model.layers.1.self_attn.v_proj,128,256,640
google/gemma-3-270m,model.layers.1.self_attn.o_proj,128,640,1024
google/gemma-3-270m,model.layers.1.mlp.gate_proj,128,2048,640
google/gemma-3-270m,model.layers.1.mlp.up_proj,128,2048,640
google/gemma-3-270m,model.layers.1.mlp.down_proj,128,640,2048
google/gemma-3-270m,model.layers.2.self_attn.q_proj,128,1024,640
google/gemma-3-270m,model.layers.2.self_attn.k_proj,128,256,640
google/gemma-3-270m,model.layers.2.self_attn.v_proj,128,256,640
google/gemma-3-270m,model.layers.2.self_attn.o_proj,128,640,1024
google/gemma-3-270m,model.layers.2.mlp.gate_proj,128,2048,640
google/gemma-3-270m,model.layers.2.mlp.up_proj,128,2048,640
google/gemma-3-270m,model.layers.2.mlp.down_proj,128,640,2048
google/gemma-3-270m,model.layers.3.self_attn.q_proj,128,1024,640
google/gemma-3-270m,model.layers.3.self_attn.k_proj,128,256,640
google/gemma-3-270m,model.layers.3.self_attn.v_proj,128,256,640
google/gemma-3-270m,model.layers.3.self_attn.o_proj,128,640,1024
google/gemma-3-270m,model.layers.3.mlp.gate_proj,128,2048,640
google/gemma-3-270m,model.layers.3.mlp.up_proj,128,2048,640
google/gemma-3-270m,model.layers.3.mlp.down_proj,128,640,2048
google/gemma-3-270m,model.layers.4.self_attn.q_proj,128,1024,640
google/gemma-3-270m,model.layers.4.self_attn.k_proj,128,256,640
google/gemma-3-270m,model.layers.4.self_attn.v_proj,128,256,640
google/gemma-3-270m,model.layers.4.self_attn.o_proj,128,640,1024
google/gemma-3-270m,model.layers.4.mlp.gate_proj,128,2048,640
google/gemma-3-270m,model.layers.4.mlp.up_proj,128,2048,640
google/gemma-3-270m,model.layers.4.mlp.down_proj,128,640,2048
google/gemma-3-270m,model.layers.5.self_attn.q_proj,128,1024,640
google/gemma-3-270m,model.layers.5.self_attn.k_proj,128,256,640
